Item code,Banner data,Comments item code
54731,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'SimpleStacker', 'tag': 'bitcoin', 'timestamp': '2022-08-05 00:26:20'}",[]
147865,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'aggreyshayo7', 'tag': 'bitcoin', 'timestamp': '2023-03-05 19:46:35'}",[]
149220,"{'sats': '20 sats', 'boost': None, 'comments': '2 replies', 'author': '0fje0', 'tag': 'bitcoin', 'timestamp': '2023-03-08 03:45:36'}","[149764, 149317]"
148229,"{'sats': '41 sats', 'boost': None, 'comments': '0 replies', 'author': 'nullama', 'tag': 'bitcoin', 'timestamp': '2023-03-06 13:45:53'}",[]
24060,"{'sats': '251 sats', 'boost': None, 'comments': '6 replies', 'author': 'john', 'tag': 'bitcoin', 'timestamp': '2022-04-29 23:47:09'}","[24501, 25396, 26057, 26369, 24079, 24155]"
40034,"{'sats': '0 sats', 'boost': None, 'comments': '2 replies', 'author': 'faithandcredit', 'tag': 'bitcoin', 'timestamp': '2022-06-30 15:25:42'}","[40071, 40237]"
124852,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'Onions', 'tag': 'bitcoin', 'timestamp': '2023-01-20 22:15:31'}",[]
55954,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'k00b', 'tag': 'bitcoin', 'timestamp': '2022-08-07 16:03:27'}",[]
140567,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'benthecarman', 'tag': 'nostr', 'timestamp': '2023-02-20 16:16:38'}",[140580]
142215,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': '022fbc9cef', 'tag': 'bitcoin', 'timestamp': '2023-02-23 05:10:27'}",[]
172605,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'TheBTCManual', 'tag': 'bitcoin', 'timestamp': '2023-05-02 07:09:29'}",[]
131199,"{'sats': '21 sats', 'boost': None, 'comments': '2 replies', 'author': 'k00b', 'tag': 'meta', 'timestamp': '2023-02-04 15:37:40'}","[131204, 131206]"
104080,"{'sats': '30 sats', 'boost': None, 'comments': '0 replies', 'author': 'nikicat', 'tag': 'bitcoin', 'timestamp': '2022-12-08 19:13:32'}",[]
164221,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'ekzyis', 'tag': 'bitcoin', 'timestamp': '2023-04-13 13:43:24'}",[164827]
60782,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'Brunswick', 'tag': 'bitcoin', 'timestamp': '2022-08-19 11:36:44'}",[60829]
29424,"{'sats': '20 sats', 'boost': None, 'comments': '0 replies', 'author': 'anarkio', 'tag': 'bitcoin', 'timestamp': '2022-05-18 07:07:44'}",[]
93371,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2022-11-13 08:30:48'}",[]
131921,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'jerry', 'tag': 'bitcoin', 'timestamp': '2023-02-06 07:41:08'}",[]
43308,"{'sats': '69 sats', 'boost': None, 'comments': '0 replies', 'author': 'AJ', 'tag': 'bitcoin', 'timestamp': '2022-07-10 17:23:21'}",[]
2317,"{'sats': None, 'boost': None, 'comments': '0 replies', 'author': 'DarthCoin', 'tag': 'freebie', 'timestamp': '2021-09-20 11:23:58'}",[]
139828,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'jozelito83', 'tag': 'jobs', 'timestamp': '2023-02-19 17:17:18'}",[]
56909,"{'sats': '25 sats', 'boost': None, 'comments': '0 replies', 'author': '0391398253', 'tag': 'bitcoin', 'timestamp': '2022-08-09 19:19:56'}",[]
184589,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'grayruby', 'tag': 'bitcoin', 'timestamp': '2023-05-27 15:21:49'}",[]
168343,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'go', 'tag': 'bitcoin', 'timestamp': '2023-04-23 00:16:16'}",[169657]
113399,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'nym', 'tag': 'bitcoin', 'timestamp': '2022-12-26 23:37:51'}",[]
16797,"{'sats': '31 sats', 'boost': None, 'comments': '0 replies', 'author': 'cointastical', 'tag': 'bitcoin', 'timestamp': '2022-03-29 00:51:51'}",[]
71763,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'quest77', 'tag': 'outlawed', 'timestamp': '2022-09-19 18:30:51'}",[]
75752,"{'sats': '220 sats', 'boost': None, 'comments': '1 reply', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2022-09-30 16:12:57'}",[75755]
199802,"{'sats': '13 sats', 'boost': None, 'comments': '0 replies', 'author': '0000', 'tag': 'bitcoin', 'timestamp': '2023-06-26 16:00:49'}",[]
56228,"{'sats': '11 sats', 'boost': None, 'comments': '2 replies', 'author': 'faithandcredit', 'tag': 'bitcoin', 'timestamp': '2022-08-08 10:09:22'}","[56233, 56243]"
197005,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': '03365d6a53', 'tag': 'bitcoin', 'timestamp': '2023-06-21 09:07:25'}",[]
57657,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'go', 'tag': 'bitcoin', 'timestamp': '2022-08-11 14:21:24'}",[]
73556,"{'sats': '25 sats', 'boost': None, 'comments': '0 replies', 'author': 'ExponentialBTC', 'tag': 'bitcoin', 'timestamp': '2022-09-24 09:57:27'}",[]
92658,"{'sats': '156 sats', 'boost': None, 'comments': '0 replies', 'author': 'Wumbo', 'tag': 'bitcoin', 'timestamp': '2022-11-11 17:00:11'}",[]
4766,"{'sats': '124 sats', 'boost': None, 'comments': '1 reply', 'author': 'nout', 'tag': 'bitcoin', 'timestamp': '2021-11-11 01:15:05'}",[4776]
99595,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'joemartinmusic', 'tag': 'bitcoin', 'timestamp': '2022-11-28 11:16:40'}",[]
179787,"{'sats': '296 sats', 'boost': None, 'comments': '1 reply', 'author': 'nerd2ninja', 'tag': 'bitcoin', 'timestamp': '2023-05-17 10:57:56'}",[179854]
99270,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'siggy47', 'tag': 'bitcoin', 'timestamp': '2022-11-27 11:46:33'}",[]
59595,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'Wil', 'tag': 'bitcoin', 'timestamp': '2022-08-16 20:57:31'}",[]
194517,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'grayruby', 'tag': 'bitcoin', 'timestamp': '2023-06-16 16:22:51'}",[]
7443,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'base58btc', 'tag': 'freebie', 'timestamp': '2022-01-08 05:52:17'}",[]
8553,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'cryptocoin', 'tag': 'bitcoin', 'timestamp': '2022-01-20 21:53:03'}",[]
40693,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'siggy47', 'tag': 'bitcoin', 'timestamp': '2022-07-02 22:43:51'}",[]
131977,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'TheBTCManual', 'tag': 'nostr', 'timestamp': '2023-02-06 11:06:41'}",[]
121379,"{'sats': '292 sats', 'boost': None, 'comments': '0 replies', 'author': 'brugeman', 'tag': 'bitcoin', 'timestamp': '2023-01-12 17:32:02'}",[]
93164,"{'sats': '10 sats', 'boost': None, 'comments': '0 replies', 'author': 'faxwmnhviomb', 'tag': 'bitcoin', 'timestamp': '2022-11-12 17:24:07'}",[]
99334,"{'sats': '0 sats', 'boost': None, 'comments': '7 replies', 'author': 'sommerfeld', 'tag': 'bitcoin', 'timestamp': '2022-11-27 16:16:29'}","[99335, 99336, 99339, 99342, 99345, 99347, 99349]"
63133,"{'sats': '100 sats', 'boost': None, 'comments': '0 replies', 'author': 'fiatjaf', 'tag': 'bitcoin', 'timestamp': '2022-08-25 14:58:36'}",[]
65059,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2022-08-31 12:40:29'}",[]
68498,"{'sats': '100 sats', 'boost': None, 'comments': '0 replies', 'author': 'el', 'tag': 'bitcoin', 'timestamp': '2022-09-11 10:48:20'}",[]
109289,"{'sats': '465 sats', 'boost': None, 'comments': '2 replies', 'author': 'snakedye', 'tag': 'bitcoin', 'timestamp': '2022-12-19 21:43:04'}","[109290, 109315]"
94242,"{'sats': None, 'boost': None, 'comments': '1 reply', 'author': '01xCc', 'tag': 'bitcoin', 'timestamp': '2022-11-15 06:00:07'}",[94244]
109415,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': '1971Bubble', 'tag': 'bitcoin', 'timestamp': '2022-12-20 06:47:57'}",[]
94151,"{'sats': '543 sats', 'boost': None, 'comments': '0 replies', 'author': 'cryptocoin', 'tag': 'bitcoin', 'timestamp': '2022-11-14 23:22:15'}",[]
134836,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'petertodd', 'tag': 'bitcoin', 'timestamp': '2023-02-11 15:33:44'}",[135041]
83906,"{'sats': '330 sats', 'boost': None, 'comments': '0 replies', 'author': 'niek0', 'tag': 'freebie', 'timestamp': '2022-10-20 21:56:15'}",[]
144957,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'mallardshead', 'tag': 'bitcoin', 'timestamp': '2023-02-28 01:34:02'}",[]
44109,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'faithandcredit', 'tag': 'bitcoin', 'timestamp': '2022-07-12 15:04:57'}",[]
181483,"{'sats': '50 sats', 'boost': None, 'comments': '2 replies', 'author': 'BitcoinFoqus', 'tag': 'bitcoin', 'timestamp': '2023-05-20 19:45:38'}","[181506, 181495]"
181506,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'nout', 'tag': 'bitcoin', 'timestamp': '2023-05-20 20:52:52'}",[]
33491,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'andyleroy', 'tag': 'bitcoin', 'timestamp': '2022-06-02 13:50:57'}",[]
158351,"{'sats': '0 sats', 'boost': None, 'comments': '2 replies', 'author': 'moel', 'tag': 'bitcoin', 'timestamp': '2023-03-29 12:17:33'}","[158573, 243022]"
141767,"{'sats': '0 sats', 'boost': None, 'comments': '2 replies', 'author': 'joyepzion', 'tag': 'bitcoin', 'timestamp': '2023-02-22 14:26:32'}","[141949, 141811]"
45400,"{'sats': None, 'boost': None, 'comments': '1 reply', 'author': 'editnym', 'tag': 'bitcoin', 'timestamp': '2022-07-14 23:39:16'}",[45402]
185251,"{'sats': '432 sats', 'boost': None, 'comments': '0 replies', 'author': 'shyfire', 'tag': 'bitcoin', 'timestamp': '2023-05-29 05:33:44'}",[]
174691,"{'sats': None, 'boost': None, 'comments': '0 replies', 'author': 'nout', 'tag': 'bitcoin', 'timestamp': '2023-05-06 07:42:25'}",[]
